,BatterName,TotalRuns,TotalBalls,StrikeRate
160,AP Tare,226,214,105.60747663551402
161,K Rabada,1,4,25.0
162,C de Grandhomme,1,2,50.0
163,MJ McClenaghan,0,1,0.0
164,ER Dwivedi,5,6,83.33333333333334
165,Sachin Baby,0,3,0.0
166,NV Ojha,494,503,98.2107355864811
167,UT Khawaja,107,79,135.44303797468353
168,GJ Bailey,131,131,100.0
169,PP Chawla,15,13,115.38461538461537
170,UBT Chand,120,149,80.53691275167785
171,KP Pietersen,392,301,130.2325581395349
172,MEK Hussey,828,791,104.67762326169405
173,NJ Maddinson,20,21,95.23809523809523
174,V Sehwag,1593,1160,137.32758620689657
175,GH Vihari,59,92,64.13043478260869
176,MS Bisla,474,460,103.04347826086956
177,RR Rossouw,20,23,86.95652173913044
178,JP Faulkner,14,20,70.0
179,DJ Bravo,123,116,106.03448275862068
180,CM Gautam,68,64,106.25
181,JA Morkel,18,14,128.57142857142858
