,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
229,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,46.83199035470319,57,17.838613412801426
230,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,48.382002307774584,50,3.2359953844508316
231,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,40.9644588244486,50,18.071082351102802
232,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,40.37520634961294,27,49.53780129486273
233,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,45.972461255452885,38,20.980161198560225
234,Royal Challengers Bangalore,Delhi Capitals,M.Chinnaswamy Stadiu,42.614643152531556,40,6.53660788132889
235,Delhi Capitals,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,45.17996917544004,53,14.754775140679163
236,Chennai Super Kings,Kings XI Punjab,MA Chidambaram Stadi,45.039473980060784,54,16.593566703591144
237,Kings XI Punjab,Chennai Super Kings,MA Chidambaram Stadi,40.333442988285015,46,12.318602199380404
238,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,47.21150418936747,36,31.143067192687408
239,Sunrisers Hyderabad,Delhi Capitals,Arun Jaitley Stadium,43.24605779581877,62,30.248293877711657
240,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadi,46.434265812112116,48,3.2619462247664246
241,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadi,44.02874918475524,55,19.94772875499047
242,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Interna,49.41210215852792,59,16.250674307579793
243,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Interna,48.14277551854422,30,60.475918395147396
244,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,38.24228741746069,36,6.228576159613021
245,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,47.83829831455084,45,6.307329587890756
246,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Interna,42.92880121826513,35,22.653717766471797
247,Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi Interna,45.25678430192648,69,34.41045753343989
248,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,42.38148146799617,53,20.034940626422326
249,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,44.7705429640662,51,12.214621639085879
250,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadi,49.92899521221567,32,56.02811003817396
251,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadi,45.22215610598637,64,29.340381084396295
