,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
316,Sunrisers Hyderabad,Kolkata Knight Riders,M Chinnaswamy Stadiu,44.3323095287941,30,47.77436509598033
317,Kolkata Knight Riders,Sunrisers Hyderabad,M Chinnaswamy Stadiu,49.92508681873465,48,4.010597539030517
318,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,40.14330471349658,37,8.495418144585361
319,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,43.690473162212484,42,4.024936100505914
320,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,41.721871794428935,51,18.192408246217774
321,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,39.21069914380513,53,26.01754878527334
322,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla,46.011527677674266,54,14.793467263566173
323,Rising Pune Supergiant,Delhi Daredevils,Feroz Shah Kotla,46.484872707405444,53,12.292693004895389
324,Gujarat Lions,Delhi Daredevils,Green Park,48.74667823105052,50,2.5066435378989667
325,Delhi Daredevils,Gujarat Lions,Green Park,48.8315850125909,64,23.70064841782672
326,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Interna,46.137676963553595,36,28.160213787648875
327,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Interna,45.66128488420097,43,6.189034614420853
328,Kings XI Punjab,Gujarat Lions,Punjab Cricket Assoc,42.46283693084087,44,3.493552429907109
329,Gujarat Lions,Kings XI Punjab,Punjab Cricket Assoc,48.299378612922204,58,16.725209288065166
330,Sunrisers Hyderabad,Rising Pune Supergiant,Rajiv Gandhi Interna,42.79737479863191,35,22.278213710376875
331,Rising Pune Supergiant,Sunrisers Hyderabad,Rajiv Gandhi Interna,49.364451961235275,47,5.030748853692075
332,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,45.19839698138411,58,22.071729342441195
333,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,43.80763935741565,63,30.464064512038647
334,Delhi Daredevils,Sunrisers Hyderabad,Feroz Shah Kotla,40.12822478594038,66,39.19965941524185
335,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,43.63444029703541,62,29.62187048865256
336,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,44.868363690032524,52,13.714685211475915
337,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,42.44761551769174,55,22.822517240560476
338,Kings XI Punjab,Delhi Daredevils,Punjab Cricket Assoc,54.98256120123945,25,119.9302448049578
339,Delhi Daredevils,Kings XI Punjab,Punjab Cricket Assoc,41.10007498327252,50,17.79985003345496
340,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket ,41.402560974587246,43,3.7149744777040796
341,Royal Challengers Bangalore,Rising Pune Supergiant,Maharashtra Cricket ,42.91018212522854,39,10.026108013406507
342,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,47.864112337890994,60,20.226479436848344
343,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,44.00994386794439,59,25.406874800094247
344,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket ,45.57864981719778,57,20.03745646105653
345,Kolkata Knight Riders,Rising Pune Supergiant,Maharashtra Cricket ,46.698091547075556,45,3.773536771279014
346,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,41.99305598163957,65,35.395298489785276
347,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,50.35545390249051,39,29.116548467924385
348,Rising Pune Supergiant,Sunrisers Hyderabad,Maharashtra Cricket ,45.017716062394214,45,0.039369027542698457
349,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket ,44.15652708702828,55,19.71540529631222
350,Kolkata Knight Riders,Gujarat Lions,Eden Gardens,45.70250641542651,65,29.688451668574594
351,Gujarat Lions,Kolkata Knight Riders,Eden Gardens,49.56908109748831,72,31.154054031266238
352,Sunrisers Hyderabad,Delhi Daredevils,Rajiv Gandhi Interna,54.11848850136442,39,38.765355131703636
353,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi Interna,46.40000586197384,56,17.142846675046716
354,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,36.22850648878917,53,31.644327379643073
355,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,51.94620224623155,49,6.012657645370511
356,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadiu,43.27577766128231,55,21.316767888577616
357,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadiu,38.57643528956978,42,8.151344548643381
358,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,45.60525083425288,49,6.9280595219329015
359,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,59.799992661464266,40,49.49998165366066
360,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket A,40.63257173640364,64,36.51160666186931
361,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket A,43.72843887201055,61,28.31403463604828
362,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,51.793314836559205,57,9.134535374457537
363,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,47.48393120377962,76,37.52114315292155
364,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket ,42.744189861856434,62,31.057758287328337
365,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket ,45.28938615600831,50,9.421227687983375
366,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,42.32714370951156,59,28.259078458454983
367,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,46.071652734542276,49,5.976218909097396
368,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadiu,45.47914338695114,41,10.924739968173505
369,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,46.82524867190192,43,8.895927143957948
370,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket A,46.34581465113161,52,10.873433363208438
371,Kolkata Knight Riders,Gujarat Lions,Saurashtra Cricket A,45.77617182216837,73,37.29291531209812
372,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Interna,40.91640577359657,59,30.65015970576852
373,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Interna,39.83561926675184,54,26.23033469120029
374,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,41.81130673449462,38,10.02975456445953
375,Sunrisers Hyderabad,Gujarat Lions,Feroz Shah Kotla,46.866254206386735,46,1.8831613182320321
376,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadiu,50.16095880004162,23,118.09112521757226
377,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadiu,44.50376063511289,31,43.560518177783514
378,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,46.084663429242546,48,3.9902845224113617
379,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,54.826731391816736,48,14.222357066284866
380,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara,41.09895816855748,52,20.96354198354331
381,Kings XI Punjab,Rising Pune Supergiants,Dr. Y.S. Rajasekhara,51.254702146942954,44,16.48795942487035
382,Gujarat Lions,Kolkata Knight Riders,Green Park,46.11389240556118,44,4.804300921729957
383,Kolkata Knight Riders,Gujarat Lions,Green Park,42.34573018952578,55,23.007763291771308
384,Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara,44.10374334335118,28,57.51336908339706
385,Delhi Daredevils,Rising Pune Supergiants,Dr. Y.S. Rajasekhara,39.92884625411598,44,9.252622149736405
386,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,46.105099629469706,47,1.9040433415538176
387,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,41.36237389690296,55,24.7956838238128
388,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadiu,39.319486183231085,42,6.382175754211702
389,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadiu,49.442763190290236,41,20.59210534217131
390,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara,46.05990677634245,21,119.33288941115454
391,Kings XI Punjab,Mumbai Indians,Dr. Y.S. Rajasekhara,48.80572247915255,32,52.51788274735172
392,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadiu,46.69534983984977,25,86.78139935939907
393,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadiu,50.22846786302271,39,28.790943238519763
394,Kings XI Punjab,Royal Challengers Bangalore,Punjab Cricket Assoc,45.939219889865214,56,17.96567876809783
395,Royal Challengers Bangalore,Kings XI Punjab,Punjab Cricket Assoc,57.91227366117602,50,15.824547322352045
396,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara,46.81259869069191,51,8.210590802564889
397,Sunrisers Hyderabad,Mumbai Indians,Dr. Y.S. Rajasekhara,46.85516415443947,32,46.42238798262335
398,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadiu,41.546396149364,60,30.756006417726667
