,BowlerName,RunsGiven,BallsBowled,Economy
169,Kuldeep Yadav,68,58,7.034482758620689
170,P Negi,64,42,9.142857142857142
171,B Stanlake,111,89,7.4831460674157295
172,A Dananjaya,12,6,12.0
173,BCJ Cutting,68,44,9.272727272727273
174,R Vinay Kumar,930,770,7.246753246753247
175,KV Sharma,191,160,7.1625000000000005
176,Bipul Sharma,77,75,6.16
177,Z Khan,1492,1346,6.650817236255572
178,C de Grandhomme,13,14,5.571428571428571
179,P Kumar,1813,1642,6.624847746650426
180,JP Faulkner,496,382,7.790575916230367
181,MJ Henry,36,18,12.0
182,DR Smith,123,67,11.014925373134329
183,A Choudhary,46,37,7.45945945945946
184,S Badree,196,160,7.3500000000000005
185,S Aravind,543,442,7.371040723981901
186,A Nehra,1387,1131,7.358090185676393
187,YK Pathan,402,368,6.554347826086957
188,IK Pathan,1104,958,6.914405010438413
189,Ankit Soni,3,6,3.0
190,SK Raina,83,66,7.545454545454545
191,Anureet Singh,199,166,7.19277108433735
192,CJ Anderson,121,74,9.81081081081081
193,NB Singh,18,25,4.32
194,SS Agarwal,11,6,11.0
195,MM Patel,784,670,7.02089552238806
196,SB Jakati,139,97,8.597938144329897
197,AB Dinda,1010,855,7.087719298245615
198,Iqbal Abdulla,293,280,6.2785714285714285
199,Tejas Baroka,8,6,8.0
200,MS Gony,722,505,8.578217821782179
201,S Kaushik,41,19,12.947368421052632
202,CH Gayle,169,128,7.921875
203,M Morkel,1107,958,6.933194154488518
204,KS Williamson,7,6,7.0
205,NLTC Perera,223,182,7.351648351648352
206,KJ Abbott,73,44,9.954545454545455
207,M Vijay,8,7,6.857142857142857
208,A Zampa,9,7,7.714285714285715
209,PV Tambe,114,80,8.55
210,RP Singh,1237,1060,7.00188679245283
211,Parvez Rasool,101,66,9.181818181818182
212,SM Boland,22,18,7.333333333333334
213,JA Morkel,1300,947,8.236536430834214
214,P Sahu,11,7,9.428571428571429
215,JW Hastings,50,39,7.692307692307693
216,GB Hogg,54,49,6.612244897959183
217,S Ladda,28,18,9.333333333333334
218,MA Starc,352,312,6.769230769230769
219,D Wiese,64,63,6.095238095238095
220,Azhar Mahmood,163,148,6.608108108108108
221,IC Pandey,312,269,6.959107806691449
222,BE Hendricks,108,64,10.125
223,Gurkeerat Singh,19,12,9.5
224,J Botha,255,196,7.8061224489795915
225,M de Lange,82,65,7.569230769230769
226,AD Mathews,185,129,8.604651162790699
227,GS Sandhu,7,6,7.0
228,RG More,15,6,15.0
229,J Theron,102,69,8.869565217391305
230,DJ Muthuswami,99,72,8.25
231,Karanveer Singh,26,12,13.0
232,AN Ahmed,187,143,7.846153846153847
233,P Suyal,93,65,8.584615384615384
